Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,LSRAM 18K,PLLs and CCCs,Chip Globals,MSS,CAN,10/100/1000 Ethernet,HS USB,Multi-Mode UART,RCOSC_50MHZ
Main_0/RS422_Tx1/Primitives,7,6,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/RS422_Tx1/UartTxFifo/Primitives,3,5,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/RS422_Tx1/UartTxFifo/fifo_i/Primitives,57,43,36,36,0,1,0,0,0,0,0,0,0,0
Main_0/RS422_Tx1/UartTxUart/Primitives,19,7,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/RS422_Tx2/IBufStartTx/Primitives,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/RS422_Tx2/IBufTxInProgress_i/Primitives,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/RS422_Tx2/Primitives,7,6,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/RS422_Tx2/UartTxFifo/Primitives,3,5,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/RS422_Tx2/UartTxFifo/fifo_i/Primitives,57,43,36,36,0,1,0,0,0,0,0,0,0,0
Main_0/RS422_Tx2/UartTxUart/Primitives,19,7,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/RS433_Rx3/ClkSyncWrite/Primitives,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/RS433_Rx3/Uart/ClkSyncRxd/Primitives,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/RS433_Rx3/Uart/Uart/Primitives,35,25,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/RS433_Rx3/UartFifo/Primitives,2,4,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/RS433_Rx3/UartFifo/fifo_i/Primitives,65,52,36,36,0,1,0,0,0,0,0,0,0,0
Main_0/RS433_Tx3/IBufStartTx/Primitives,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/RS433_Tx3/IBufTxInProgress_i/Primitives,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/RS433_Tx3/Primitives,7,6,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/RS433_Tx3/UartTxFifo/Primitives,3,5,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/RS433_Tx3/UartTxFifo/fifo_i/Primitives,57,43,36,36,0,1,0,0,0,0,0,0,0,0
Main_0/RS433_Tx3/UartTxUart/Primitives,19,7,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/RS4GpsGps_TxGps/IBufStartTx/Primitives,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/RS4GpsGps_TxGps/IBufTxInProgress_i/Primitives,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/RS4GpsGps_TxGps/Primitives,7,6,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/RS4GpsGps_TxGps/UartTxFifo/Primitives,3,5,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/RS4GpsGps_TxGps/UartTxFifo/fifo_i/Primitives,57,43,36,36,0,1,0,0,0,0,0,0,0,0
Main_0/RS4GpsGps_TxGps/UartTxUart/Primitives,19,7,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/RS4UsbUsb_TxUsb/IBufStartTx/Primitives,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/RS4UsbUsb_TxUsb/IBufTxInProgress_i/Primitives,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/RS4UsbUsb_TxUsb/Primitives,7,6,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/RS4UsbUsb_TxUsb/UartTxFifo/Primitives,3,5,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/RS4UsbUsb_TxUsb/UartTxFifo/fifo_i/Primitives,57,43,36,36,0,1,0,0,0,0,0,0,0,0
Main_0/RS4UsbUsb_TxUsb/UartTxUart/Primitives,20,7,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/RegisterSpace/Primitives,1246,204,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/RxdGps_RxGps/ClkSyncWrite/Primitives,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/RxdGps_RxGps/Uart/ClkSyncRxd/Primitives,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/RxdGps_RxGps/Uart/Uart/Primitives,36,25,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/RxdGps_RxGps/UartFifo/Primitives,2,4,0,0,0,0,0,0,0,0,0,0,0,0
