pin,slack
SpiMasterPorts_1/DataFromMiso_7_7_0_a2_0:A,6540
SpiMasterPorts_1/DataFromMiso_7_7_0_a2_0:B,6474
SpiMasterPorts_1/DataFromMiso_7_7_0_a2_0:Y,6474
EvalSandbox_MSS_0/CCC_0/CCC_INST/IP_INTERFACE_3:IPA,
EvalSandbox_MSS_0/CCC_0/CCC_INST/IP_INTERFACE_3:IPB,
EvalSandbox_MSS_0/CCC_0/CCC_INST/IP_INTERFACE_3:IPC,
debug_obuf[8]/U0/U_IOENFF:A,
debug_obuf[8]/U0/U_IOENFF:Y,
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTOO1/genblk1.CUARTO0[1]:CLK,5314
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTOO1/genblk1.CUARTO0[1]:D,5063
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTOO1/genblk1.CUARTO0[1]:Q,5314
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTO1I[5]:CLK,8660
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTO1I[5]:D,7424
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTO1I[5]:EN,3588
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTO1I[5]:Q,8660
SpiMasterPorts_1/ClkDiv_cry[1]:B,7495
SpiMasterPorts_1/ClkDiv_cry[1]:C,5193
SpiMasterPorts_1/ClkDiv_cry[1]:FCI,5177
SpiMasterPorts_1/ClkDiv_cry[1]:FCO,5177
SpiMasterPorts_1/ClkDiv_cry[1]:S,5240
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_48:IPA,
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_209:IPA,
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_209:IPB,
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_188:IPA,
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTIO1/un1_CUARTlI0l_1_0_m3:A,6856
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTIO1/un1_CUARTlI0l_1_0_m3:B,6787
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTIO1/un1_CUARTlI0l_1_0_m3:C,6747
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTIO1/un1_CUARTlI0l_1_0_m3:Y,6747
nCsA_obuf[3]/U0/U_IOOUTFF:A,
nCsA_obuf[3]/U0/U_IOOUTFF:Y,
SpiMasterPorts_5/ClkDiv[2]:ALn,5513
SpiMasterPorts_5/ClkDiv[2]:CLK,2819
SpiMasterPorts_5/ClkDiv[2]:D,5240
SpiMasterPorts_5/ClkDiv[2]:EN,8498
SpiMasterPorts_5/ClkDiv[2]:Q,2819
SpiMasterPorts_2/DataFromMiso_7_5_0_a2:A,7502
SpiMasterPorts_2/DataFromMiso_7_5_0_a2:B,7469
SpiMasterPorts_2/DataFromMiso_7_5_0_a2:C,3485
SpiMasterPorts_2/DataFromMiso_7_5_0_a2:D,6448
SpiMasterPorts_2/DataFromMiso_7_5_0_a2:Y,3485
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTIO1/CUARTO10l.CUARTI00l6_0:A,6583
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTIO1/CUARTO10l.CUARTI00l6_0:B,6686
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTIO1/CUARTO10l.CUARTI00l6_0:Y,6583
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_50:A,6860
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_50:B,6782
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_50:C,3166
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_50:Y,3166
IO_UartTx_0/IO_UartTx_0/U0_0/U0/U_IOPAD:D,
IO_UartTx_0/IO_UartTx_0/U0_0/U0/U_IOPAD:E,
IO_UartTx_0/IO_UartTx_0/U0_0/U0/U_IOPAD:PAD,
SpiMasterPorts_1/DataToMosi_i[18]:ALn,5513
SpiMasterPorts_1/DataToMosi_i[18]:CLK,2971
SpiMasterPorts_1/DataToMosi_i[18]:D,7442
SpiMasterPorts_1/DataToMosi_i[18]:EN,4461
SpiMasterPorts_1/DataToMosi_i[18]:Q,2971
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTIO1/CUARTll0l[2]:CLK,5727
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTIO1/CUARTll0l[2]:D,6637
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTIO1/CUARTll0l[2]:EN,7455
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTIO1/CUARTll0l[2]:Q,5727
SpiMasterPorts_0/SpiBitPos_7_1.N_37_i:A,7702
SpiMasterPorts_0/SpiBitPos_7_1.N_37_i:B,7673
SpiMasterPorts_0/SpiBitPos_7_1.N_37_i:C,4468
SpiMasterPorts_0/SpiBitPos_7_1.N_37_i:D,5562
SpiMasterPorts_0/SpiBitPos_7_1.N_37_i:Y,4468
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_161:IPA,
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_161:IPB,
SpiMasterPorts_4/DataToMosi_i[13]:ALn,5513
SpiMasterPorts_4/DataToMosi_i[13]:CLK,4600
SpiMasterPorts_4/DataToMosi_i[13]:D,7318
SpiMasterPorts_4/DataToMosi_i[13]:EN,4917
SpiMasterPorts_4/DataToMosi_i[13]:Q,4600
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_109:A,1593
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_109:B,2201
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_109:C,1507
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_109:Y,1507
SpiMasterPorts_0/DataFromMiso_7_14_0_a2:A,7502
SpiMasterPorts_0/DataFromMiso_7_14_0_a2:B,7469
SpiMasterPorts_0/DataFromMiso_7_14_0_a2:C,3445
SpiMasterPorts_0/DataFromMiso_7_14_0_a2:D,6474
SpiMasterPorts_0/DataFromMiso_7_14_0_a2:Y,3445
SpiMasterPorts_0/DataFromMiso_1[10]:ALn,5513
SpiMasterPorts_0/DataFromMiso_1[10]:CLK,6726
SpiMasterPorts_0/DataFromMiso_1[10]:D,
SpiMasterPorts_0/DataFromMiso_1[10]:EN,3445
SpiMasterPorts_0/DataFromMiso_1[10]:Q,6726
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTO01/CUARTO0Il[8]:CLK,6766
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTO01/CUARTO0Il[8]:D,6496
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTO01/CUARTO0Il[8]:EN,6370
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTO01/CUARTO0Il[8]:Q,6766
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_152:IPA,
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_152:IPB,
SckA_obuf/U0/U_IOOUTFF:A,
